unique_key_arrete_zone_alerte,id_arrete,id_zone,numero_arrete,numero_arrete_cadre,date_signature,debut_validite_arrete,fin_validite_arrete,numero_niveau,nom_niveau,statut_arrete,chemin_fichier
08262f1d29c0d9e189e59e1919c48e0b,20870,4065,2010000254,,2010-08-01,2010-08-04,2010-09-04,4,Crise modérée,Terminé,
ddcc3174be5cd47e96c0ba761d149e1f,20870,4067,2010000254,,2010-08-01,2010-08-04,2010-09-04,5,Crise,Terminé,
5da9b333656a67e109d9116533602700,20871,4184,2010-215-0006,,2010-08-03,2010-08-04,2010-08-17,1,Vigilance,Terminé,
0113a0e12cc7e7184761249cfe094d3a,20871,4185,2010-215-0006,,2010-08-03,2010-08-04,2010-08-17,1,Vigilance,Terminé,
44659d3aae0cca0be54ba1831453b760,20872,4184,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
0cd07edb985ad7659f1ef3130486b41a,20872,4185,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,3,Alerte,Terminé,
4aeaecb1eb8dd0e410a5eaa313c507a4,20872,4186,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
8b0061497a86312de26e01d21f078206,20872,4187,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
14f015acbd785b3c124f8176f7c31c90,20872,4188,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
b4fbcd5c525eea3c6df3aa3239e53deb,20872,4189,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
e3e81b1dcadf3fcce8099d6e2e0c1d69,20872,4190,2010-229-0005,,2010-08-17,2010-08-18,2010-11-18,1,Vigilance,Terminé,
2106052a8f1fbe5a8205bc45ebfcdc3f,20874,4105,2010-5088,,2010-08-04,2010-08-05,2010-12-31,3,Alerte,Terminé,
1f9cf7eee3b15f753550cab08fbccff2,20874,4128,2010-5088,,2010-08-04,2010-08-05,2010-12-31,3,Alerte,Terminé,
22c938d23f41f805ce7042f51f568632,20874,4319,2010-5088,,2010-08-04,2010-08-05,2010-12-31,3,Alerte,Terminé,
36677634fb3a8ae732ef95e8cf6c9e80,20874,4323,2010-5088,,2010-08-04,2010-08-05,2010-12-31,5,Crise,Terminé,
632228896adf2176aa871aa8c678353e,20875,3295,2354,,2010-07-30,2010-07-31,2010-10-31,5,Crise,Terminé,
a77d962c4becc6422770bf9047bb827a,20876,3980,2010-264-14,2004-07-06_Midouze,2010-09-21,2010-09-22,2010-10-30,7,Arrêt des prélèvements non prioritaires,Terminé,
a03a3d3a0d5a288b820ca9b3198cb17c,20878,3854,33-2010-23,,2010-09-10,2010-09-11,2010-10-31,3,Alerte,Terminé,
c345e793056d59c3ba6e276b0fe82065,20880,3787,10-2016,,2010-07-23,2010-07-26,2010-10-03,3,Alerte,Terminé,
40bd2f76783eeedaaa0725f71821a28e,20881,3796,2010-1491,,2010-06-23,2010-06-24,2010-10-03,1,Vigilance,Terminé,
103ceae098cd47b7c2d1d9f80bdb7f03,20881,3798,2010-1491,,2010-06-23,2010-06-24,2010-10-03,1,Vigilance,Terminé,
54b52714965447a5f4e06497709bbe43,20882,4222,55,,2010-10-19,2010-10-26,2010-10-30,6,Crise renforcée,Terminé,
27b9a5ec9b354357bea30c82bdc28608,20883,4221,56,,2010-10-19,2010-10-26,2010-10-30,3,Alerte,Terminé,
e7368d4f97d52880cab4ba23d61903f4,20884,3943,2010-020-64,,2010-08-14,2010-08-20,2010-09-30,4,Crise modérée,Terminé,
aabe7dae8ce778390fccbffa959e8845,20885,3947,2010-020-64,,2010-08-13,2010-08-18,2010-09-30,7,Arrêt des prélèvements non prioritaires,Terminé,
6c599a63eeb4c2443abab452a22f515b,20887,3725,test 1,,2010-11-01,2010-11-02,2010-11-30,3,Alerte,Terminé,
1357efd9cc26e5fc0df75dd0a7a4f99b,20894,3252,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
afdf9d939761f207f0a7eceb73a50d19,20894,3253,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
04dc912b76bd4e86b4dc22e8d6549455,20894,3254,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
07e8818c1d5f8539cd954d77826eb922,20894,3255,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
974cb705747ca084f0602abcdbbe3a87,20894,3256,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
e6fd6125832406822d83c73f14f3cfd0,20894,3257,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,0,Absence de restriction,Terminé,
6da4548ebfba26d95ab1735d75fe598a,20894,4268,2010-DDEA–SE–132,,2010-05-04,2010-05-05,2011-03-01,6,Crise renforcée,Terminé,
c28b7fa65a770c56bd7e97bf9a2932df,20895,3253,2010-DDT–SE–1007,,2010-08-03,2010-08-04,2010-10-15,3,Alerte,Terminé,
faec52a6f491a92975d8755b4c7f12fd,20896,4093,DDT/SEEF 2010-362,,2010-07-30,2010-08-01,2010-09-30,3,Alerte,Terminé,
a37d4308859b115a9f717b24d83e4448,20905,3941,2010-020-64,,2010-08-13,2010-08-20,2010-09-30,7,Arrêt des prélèvements non prioritaires,Terminé,
297845e42006527ba54f594b2e1716a5,20907,3248,2010-9029,2010-8987,2010-08-10,2010-08-11,2010-11-30,3,Alerte,Terminé,
7dcaa914df7921461989a66b2cb63bec,20907,3250,2010-9029,2010-8987,2010-08-10,2010-08-11,2010-11-30,3,Alerte,Terminé,
8ab71fab06d873877b8c03290ee4e5b6,20910,3727,2010-1,,2010-08-05,2010-08-06,2010-10-31,1,Vigilance,Terminé,
d79546b7786b57dbd93fecb36bc712d7,20913,3654,2010-501,,2010-11-30,2010-12-01,2010-12-15,5,Crise,Terminé,
af8a8381004fdc4bfdb94ab1b42604c2,20916,3700,10-4175,10-2416,2010-07-19,2010-07-20,2010-07-26,6,Crise renforcée,Terminé,
deba88ccbd02233bfbf8d4fe901d9eb6,20916,3701,10-4175,10-2416,2010-07-19,2010-07-20,2010-07-26,5,Crise,Terminé,
71f8ecc27d8c82d6443c77d768fbd68e,20916,3705,10-4175,10-2416,2010-07-19,2010-07-20,2010-07-26,4,Crise modérée,Terminé,
8412a45f6efe1c53bc70d2b00a32afe9,20916,3712,10-4175,10-2416,2010-07-19,2010-07-20,2010-07-26,4,Crise modérée,Terminé,
2bc6d7f54b6baa9e568385ed2b902665,20916,3715,10-4175,10-2416,2010-07-19,2010-07-20,2010-07-26,1,Vigilance,Terminé,
557d58397506a8277d1065c9028476c9,20917,3700,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,6,Crise renforcée,Terminé,
489766347d8ec16548104c99cf4b90c9,20917,3701,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,5,Crise,Terminé,
6f7fb1dc4d17d4b6f6a72ed470314bf7,20917,3705,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,4,Crise modérée,Terminé,
dbe34e494e6f10efe50ac01512670793,20917,3706,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,5,Crise,Terminé,
252cda21a689647453810ee2bc86915b,20917,3710,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,4,Crise modérée,Terminé,
fc887f1317c7e9c928386fb651840cf1,20917,3712,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,5,Crise,Terminé,
a601f3e68b9396252b089cbe737252a2,20917,3716,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,6,Crise renforcée,Terminé,
6d9a56e545baf5e386202a1f3666d92c,20917,3722,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,4,Crise modérée,Terminé,
7523d523272f39cbb03e3ae0b29f339b,20917,3723,10-4283,10-2416,2010-07-26,2010-07-27,2010-10-15,4,Crise modérée,Terminé,
4be17635288b2cfd9dab1648d547d1b3,20927,4265,2010/DDEA/SEPR/195,,2010-04-30,2010-05-01,2011-02-28,6,Crise renforcée,Terminé,
6669af217e8cede91df8cb68f8ea0cd6,20927,4266,2010/DDEA/SEPR/195,,2010-04-30,2010-05-01,2011-02-28,6,Crise renforcée,Terminé,
